income,credit_score,employment_years,loan_amount,debt_to_income,loan_approved
87270,731,0,296071,0.73,1
103763,698,22,177166,0.65,1
28680,643,12,106948,0.57,1
104896,439,14,190194,0.58,1
103879,486,25,34493,0.76,1
91295,360,4,490463,0.31,1
108614,679,20,471755,0.1,1
120689,739,29,298851,0.29,1
31111,618,16,204886,0.25,1
57504,601,24,143368,0.56,1
21802,643,22,161470,0.54,1
28155,310,23,302986,0.52,1
93656,361,24,18261,0.11,1
59384,525,5,81709,0.61,1
132561,452,27,100985,0.33,1
67254,609,20,373760,0.57,1
41918,542,21,454920,0.49,1
105981,792,10,334317,0.34,1
80713,665,17,298925,0.19,1
50306,629,3,280796,0.17,1
36646,406,2,272247,0.68,1
66843,525,12,292644,0.74,1
140975,517,22,251404,0.55,1
116601,805,8,105336,0.17,1
110735,558,20,433745,0.38,1
127512,816,5,118499,0.61,1
36371,353,25,154524,0.65,1
97371,346,29,316537,0.18,1
131472,820,27,429390,0.1,1
22049,398,11,462666,0.6,1
51616,319,1,171508,0.35,1
123727,789,2,314550,0.28,1
132893,718,2,330203,0.11,1
146603,361,27,152026,0.48,1
40932,444,11,349866,0.7,1
137796,515,14,255819,0.77,1
49855,302,8,17356,0.5,1
81434,459,22,133128,0.46,1
92694,419,7,496715,0.16,1
63016,388,10,7187,0.48,1
27400,628,15,344387,0.37,1
137858,656,25,302242,0.52,1
62642,566,26,490687,0.37,1
35151,622,24,157297,0.27,1
71407,840,21,139678,0.17,1
86690,494,3,324764,0.32,1
24499,631,27,431044,0.17,1
26295,469,0,131270,0.22,1
140885,820,23,424705,0.79,1
146071,762,6,281531,0.41,1
79040,339,1,336607,0.47,1
32183,836,23,470048,0.71,1
49299,560,27,494196,0.8,1
32874,694,4,247998,0.51,1
136336,525,6,400807,0.67,1
52711,423,3,246503,0.33,1
25539,337,4,446732,0.31,1
127941,627,23,358827,0.38,1
73351,550,0,67061,0.57,1
81267,475,0,240497,0.58,1
143133,753,14,464952,0.32,1
68354,336,19,86257,0.19,1
146063,615,18,66753,0.54,1
22557,413,28,351918,0.19,1
58360,339,9,409303,0.5,1
102018,600,27,429032,0.59,1
22200,523,17,28408,0.59,1
132476,617,27,129116,0.63,1
88497,648,2,136208,0.71,1
66975,414,10,22413,0.45,1
41357,622,14,118650,0.61,1
139121,339,26,64500,0.53,1
97505,339,29,351658,0.23,1
22869,588,10,61358,0.12,1
146114,561,16,71197,0.3,1
81135,515,16,498992,0.41,1
70108,446,5,228861,0.53,1
132296,635,4,228492,0.69,1
114179,467,7,266545,0.24,1
110272,391,1,431070,0.19,1
58467,652,15,81240,0.77,1
43328,662,19,240595,0.18,1
139181,644,23,226135,0.43,1
111412,469,11,283466,0.51,1
106831,655,5,380197,0.48,1
23987,490,0,11968,0.16,1
78871,721,3,294662,0.14,1
42399,306,16,319069,0.17,1
148391,432,12,195920,0.51,1
66214,330,17,379044,0.48,1
119522,834,4,360566,0.26,1
106416,725,29,268844,0.55,1
90271,693,23,360926,0.67,1
64064,662,23,237076,0.13,1
145615,736,26,28199,0.45,1
90091,381,2,442805,0.58,1
127450,655,10,168187,0.28,1
60818,557,12,460150,0.32,1
65525,823,3,190388,0.53,1
39830,594,25,10520,0.73,1
37429,523,26,114814,0.67,1
26893,824,13,172527,0.51,1
136381,345,21,251356,0.61,1
99909,412,10,484681,0.36,1
67333,532,26,128364,0.55,1
23436,316,9,439821,0.43,1
94290,659,18,19955,0.23,1
96213,522,17,180121,0.59,1
25895,747,5,149989,0.49,1
39738,664,26,468509,0.35,1
50746,625,28,476797,0.74,1
69377,766,14,255144,0.11,1
68404,713,20,69925,0.32,1
74045,754,29,374360,0.14,1
117888,532,9,75269,0.64,1
149307,523,4,429170,0.59,1
59790,711,25,494887,0.33,1
127455,634,28,470833,0.57,1
25600,521,4,308602,0.38,1
114660,336,9,356181,0.63,1
113179,577,27,157185,0.42,1
60764,495,4,104977,0.39,1
94543,783,2,488442,0.75,1
65714,541,22,311083,0.28,1
76835,623,5,34345,0.18,1
122946,491,3,260688,0.51,1
148191,316,17,444529,0.78,1
129616,823,27,377251,0.36,1
125983,700,8,389010,0.14,1
93744,321,16,490581,0.34,1
76491,773,28,266798,0.45,1
144123,419,12,498814,0.21,1
38589,509,26,336310,0.56,1
63484,605,14,183933,0.8,1
102989,569,29,102406,0.42,1
56212,584,19,316442,0.35,1
63525,526,16,445437,0.38,1
67202,680,12,312086,0.18,1
52635,759,15,8453,0.72,1
83208,306,21,107811,0.39,1
53828,328,3,59935,0.37,1
38711,332,4,389583,0.56,1
23420,378,4,179442,0.41,1
116752,758,8,275472,0.55,1
20301,837,16,20534,0.14,1
65236,781,12,352424,0.67,1
135294,729,1,483141,0.76,1
137858,584,12,41320,0.55,1
86235,815,21,54170,0.77,1
74240,398,20,105546,0.21,1
144019,696,26,85201,0.43,1
85726,788,22,239473,0.52,1
30492,338,18,275784,0.51,1
135668,570,2,236324,0.38,1
121279,456,9,489273,0.34,1
26102,374,1,166121,0.19,1
70336,429,12,403834,0.37,1
138015,383,18,238612,0.21,1
105314,321,25,192125,0.61,1
143007,758,16,400136,0.25,1
46641,838,20,311081,0.14,1
54584,681,13,205796,0.49,1
52745,739,11,148279,0.52,1
140542,320,20,201846,0.71,1
43093,602,11,169044,0.5,1
86105,383,10,409015,0.34,0
123746,752,6,207160,0.66,1
120199,686,3,427132,0.48,1
71885,806,18,75463,0.16,1
56631,556,0,98500,0.5,1
131217,826,27,212772,0.74,1
92991,461,23,42158,0.38,1
24014,462,28,89607,0.31,1
31093,823,2,386783,0.2,1
38070,570,12,250017,0.21,1
55777,791,14,338840,0.4,1
76958,507,1,328654,0.52,1
102074,838,10,125076,0.16,1
30729,359,3,63692,0.76,1
119713,729,18,135841,0.63,1
65017,608,28,197816,0.51,1
86320,819,16,282954,0.68,1
47751,326,2,403342,0.16,1
126400,498,27,166081,0.43,1
125864,686,17,497336,0.54,1
98069,648,7,116718,0.68,1
125647,835,21,358076,0.65,1
125510,677,24,5192,0.29,1
74748,826,23,252536,0.76,1
25801,452,25,41413,0.19,1
39190,505,18,148888,0.71,1
69689,754,4,44082,0.78,1
124290,572,6,332192,0.22,1
70993,535,20,128130,0.61,1
49592,820,7,55940,0.13,1
30647,800,27,168202,0.38,1
28716,416,4,45142,0.46,1
108891,685,16,41468,0.51,1
107545,643,4,428914,0.76,1
137638,694,3,146727,0.57,1
109912,363,21,183969,0.44,1
130627,371,18,428291,0.67,1
90316,573,26,407575,0.77,1
146995,619,20,396192,0.12,1
22368,637,1,241187,0.79,1
97575,665,10,47056,0.16,1
26655,794,21,56831,0.67,1
126477,465,12,326335,0.3,1
90031,843,14,254664,0.19,1
96429,310,11,389092,0.41,1
111083,600,21,431488,0.55,1
107922,401,20,113117,0.37,1
75766,724,21,281815,0.14,1
144046,691,10,294192,0.52,1
33403,513,6,474490,0.73,1
52097,387,27,293107,0.37,1
98657,700,4,48954,0.25,1
140607,345,16,470525,0.41,1
30966,762,23,238192,0.13,1
144862,609,19,362574,0.67,1
119157,385,8,5717,0.68,1
138834,391,13,278820,0.51,1
113848,541,25,402650,0.35,1
72921,301,11,185882,0.66,1
69726,524,5,123696,0.49,1
146141,415,16,492852,0.68,1
70300,402,18,397974,0.54,1
42677,493,18,9994,0.65,1
75609,465,25,271378,0.52,1
116825,389,15,74300,0.39,1
76661,421,11,311093,0.77,1
51024,442,11,42405,0.48,1
128211,405,19,302016,0.52,1
90313,727,5,309359,0.25,1
147813,604,22,28185,0.54,1
73006,616,25,179514,0.5,1
115285,308,3,449975,0.23,1
35338,372,5,308297,0.14,1
88027,658,10,344679,0.52,1
112772,522,0,138653,0.63,1
133632,715,29,56717,0.47,1
100135,669,23,7763,0.26,1
39508,563,22,360054,0.57,1
140379,617,14,60480,0.16,1
23051,383,26,174831,0.41,1
68747,617,10,212139,0.21,1
134692,410,24,123094,0.23,1
107142,550,18,161379,0.24,1
107235,682,17,232443,0.37,1
74021,306,16,16064,0.14,1
86412,758,18,81848,0.38,1
78335,383,20,42548,0.46,1
76179,507,13,173017,0.44,1
52093,689,26,446153,0.37,1
89678,613,17,273620,0.69,1
100738,321,27,449972,0.2,1
59734,709,18,357245,0.45,1
92615,814,14,7382,0.14,1
93523,426,14,447899,0.15,1
125103,313,3,486215,0.5,1
114476,311,6,181348,0.5,0
122769,386,12,431618,0.71,1
37019,823,2,490097,0.49,1
131721,836,15,425162,0.77,1
103613,600,8,84698,0.13,1
111794,542,7,250762,0.17,1
106672,421,19,248381,0.13,1
93847,446,12,472149,0.23,1
102750,655,16,420551,0.48,1
99634,608,16,50095,0.55,1
48251,587,16,478146,0.13,1
123481,606,0,397118,0.76,1
132566,848,7,294341,0.69,1
45945,651,18,394763,0.31,1
110852,611,5,27010,0.15,1
52217,358,2,422339,0.22,1
28308,334,26,355067,0.19,1
25949,744,4,138962,0.19,1
71990,392,12,491521,0.46,1
21150,506,14,397670,0.27,1
109480,652,13,114162,0.35,1
120235,631,28,388071,0.79,1
94740,458,22,275170,0.58,1
136352,323,15,332069,0.76,1
86617,703,17,73842,0.2,1
114841,815,21,300809,0.37,1
36896,663,28,276421,0.49,1
145729,681,21,178311,0.15,1
66175,831,10,445880,0.1,1
27805,451,2,315152,0.57,1
25237,719,21,281827,0.55,1
135247,549,9,136742,0.39,1
40056,416,9,225283,0.44,1
65543,811,29,153961,0.39,1
76556,634,20,453828,0.12,1
134548,717,15,180607,0.33,1
131488,594,11,345686,0.22,1
23343,670,1,321463,0.17,1
33500,485,8,250144,0.77,1
73222,545,23,359211,0.52,1
49375,567,2,157711,0.61,1
29662,536,23,200784,0.32,1
36964,829,29,414849,0.38,1
133429,320,24,257217,0.27,1
141692,819,29,432876,0.17,1
79638,399,14,336119,0.23,1
93666,777,2,168244,0.66,1
105067,597,18,457413,0.57,1
138937,825,17,106158,0.48,1
87215,633,7,457063,0.43,1
89042,301,25,278721,0.75,0
33284,674,16,344443,0.15,1
92789,592,7,287320,0.3,1
104664,617,6,442602,0.34,1
113468,801,29,68972,0.65,1
81389,680,6,387162,0.79,1
29435,313,2,488007,0.27,1
74340,803,0,439219,0.71,1
64078,530,3,287140,0.68,1
98832,383,24,105922,0.26,1
71293,429,4,353742,0.38,1
115981,444,0,40931,0.39,1
98781,327,14,129168,0.78,1
80403,365,4,171782,0.23,1
49124,462,12,128099,0.66,1
115435,528,7,39693,0.33,1
63919,560,7,433956,0.61,1
128761,748,4,475457,0.39,1
141305,723,27,113944,0.5,1
55247,759,8,229655,0.68,1
141172,600,0,212574,0.66,1
114758,602,3,284518,0.71,1
111747,586,2,474890,0.14,1
82752,694,1,252572,0.58,1
76573,309,7,348615,0.2,1
79101,569,22,50913,0.39,1
122756,660,8,390827,0.48,1
46646,556,1,202097,0.38,1
124185,432,13,311660,0.46,1
43049,575,13,92796,0.8,1
99605,812,3,293213,0.19,1
118116,612,29,385477,0.57,1
117379,583,5,454449,0.38,1
88385,420,10,89811,0.19,1
146131,406,2,195121,0.21,1
60158,503,7,237892,0.76,1
85417,464,2,385172,0.72,1
43289,604,13,44178,0.73,1
130226,796,27,299965,0.79,1
120793,455,12,449943,0.25,1
29823,666,12,459151,0.35,1
80160,550,1,21999,0.57,1
61975,633,12,460738,0.44,1
29540,810,28,305856,0.39,1
36364,592,18,200623,0.35,1
24611,319,26,176244,0.52,1
47663,581,5,300866,0.5,1
71991,300,15,277769,0.21,1
77679,418,1,203237,0.43,1
124182,334,7,474725,0.49,1
50977,497,16,11859,0.5,1
114704,784,22,439825,0.25,1
69115,358,1,441523,0.62,1
111007,460,9,115986,0.12,1
108223,505,27,237654,0.35,1
80890,311,15,288983,0.65,1
86387,789,5,294360,0.49,1
38071,575,27,320097,0.28,1
79275,541,1,482697,0.59,1
92369,515,1,458809,0.5,1
31938,550,25,470291,0.66,1
55195,425,12,54522,0.61,1
111680,516,23,235233,0.53,1
24000,605,14,403102,0.44,1
90588,484,27,378393,0.19,1
121042,338,1,12485,0.28,1
113610,522,6,429671,0.39,1
140420,483,2,248056,0.52,1
123691,794,7,414983,0.46,1
126306,726,22,117701,0.3,1
117856,477,13,426669,0.1,1
58304,727,23,212352,0.45,1
131783,593,29,107638,0.3,1
89449,450,22,189514,0.61,1
102986,683,26,450093,0.12,1
109643,607,21,279370,0.51,1
40764,635,28,98405,0.76,1
128940,674,6,289732,0.22,1
106027,307,20,215048,0.43,1
58494,640,6,167781,0.16,1
23373,428,0,446004,0.54,1
32161,651,16,486247,0.49,1
117532,657,8,42019,0.39,1
112658,816,29,443164,0.46,1
143633,794,20,266497,0.73,1
120386,385,12,70133,0.24,1
47350,474,20,381588,0.12,1
113008,492,18,202530,0.7,1
114297,610,20,384747,0.5,1
45351,418,18,163598,0.72,1
108668,517,24,471709,0.52,1
134585,726,24,133585,0.67,1
35305,713,21,450414,0.4,1
95353,413,16,250172,0.62,1
96797,444,22,497750,0.74,1
85953,837,22,310539,0.5,1
77458,602,29,422247,0.23,1
127112,644,9,473758,0.29,1
40358,300,9,130814,0.24,1
23267,446,3,435917,0.27,1
102745,586,7,379743,0.31,1
109588,352,21,30939,0.49,1
58513,603,19,447361,0.51,1
46092,368,19,418540,0.4,1
31338,660,17,158939,0.53,1
20412,519,13,267347,0.16,1
27543,460,17,414760,0.16,1
125891,388,27,414115,0.22,1
53496,458,13,296207,0.46,1
80692,788,19,95880,0.25,1
109084,623,20,8748,0.3,1
112920,680,23,241094,0.38,1
143555,401,14,384413,0.67,1
64425,793,21,464845,0.11,1
58756,318,29,347908,0.55,1
38888,753,3,156956,0.57,1
55735,781,12,161255,0.66,1
67295,696,26,479786,0.75,1
137474,578,22,469462,0.11,1
134352,664,7,375180,0.21,1
103042,630,17,155331,0.72,1
105999,643,11,172031,0.42,1
37955,754,22,383669,0.5,1
57841,364,13,431673,0.56,1
90640,375,1,352823,0.58,1
85510,442,17,130829,0.75,1
54911,772,23,133216,0.8,1
79031,716,1,400319,0.6,1
108726,604,10,70901,0.3,1
27357,796,8,248386,0.72,1
52479,590,11,180607,0.13,1
81476,401,16,414319,0.26,1
64811,566,14,103046,0.73,1
56208,302,24,357156,0.28,1
40150,384,16,83278,0.25,1
91180,627,25,279535,0.2,1
63286,749,28,107476,0.7,1
132856,753,25,427117,0.45,1
88450,520,17,387865,0.57,1
41352,453,21,102537,0.27,1
75069,311,5,348303,0.63,1
131888,432,16,466130,0.63,1
130448,603,22,398184,0.32,1
34397,592,23,186429,0.39,1
61555,599,17,222980,0.25,1
66959,342,7,436653,0.78,1
20728,642,8,302647,0.55,1
70517,625,5,494498,0.75,1
139180,797,4,491675,0.31,1
86234,663,11,80403,0.65,1
59954,726,24,439474,0.64,1
67280,320,28,431940,0.58,1
99459,706,27,69286,0.78,1
36779,635,10,341986,0.38,1
83932,416,24,109927,0.19,1
92936,423,0,282052,0.57,1
44466,698,10,490833,0.61,1
56939,350,18,448842,0.5,1
89896,623,8,304372,0.24,1
55270,440,26,28386,0.45,1
79163,769,1,182826,0.32,1
102637,633,11,295446,0.4,1
71934,672,3,327959,0.55,1
84895,793,3,257156,0.62,1
52307,838,17,482964,0.26,1
74098,455,14,330488,0.38,1
80921,590,18,433834,0.29,1
25486,443,12,378747,0.24,1
28335,405,18,474450,0.65,1
106900,719,16,328258,0.74,1
146020,301,5,253724,0.36,1
141954,389,15,206202,0.63,1
122795,644,23,30525,0.73,1
109112,649,11,84818,0.69,1
117203,758,18,119589,0.23,1
31130,562,4,150406,0.77,1
107508,650,16,99715,0.36,1
125955,407,25,198839,0.34,1
138324,338,22,273788,0.14,1
80566,458,25,368298,0.44,1
86703,611,28,431149,0.18,1
47192,540,0,262438,0.27,1
21062,744,27,310613,0.32,1
104076,597,26,431903,0.67,1
109780,335,24,373753,0.71,0
41545,383,23,450872,0.31,1
41689,751,22,415591,0.7,1
31174,684,9,332350,0.7,1
108461,471,14,363606,0.64,1
146174,675,22,172679,0.2,1
123033,661,20,88178,0.58,1
29348,440,20,422209,0.76,1
43714,417,10,180458,0.58,1
58102,576,12,259466,0.33,1
94460,519,4,444503,0.45,1
122634,325,0,91724,0.55,1
109930,820,23,234204,0.46,1
26801,309,11,491524,0.18,1
123150,677,10,101393,0.32,1
92267,451,16,394458,0.66,1
68136,348,3,81312,0.7,1
43625,453,14,496587,0.2,1
102873,592,24,342468,0.77,1
120843,349,29,76196,0.33,1
92592,830,8,75014,0.56,1
97052,359,20,406426,0.63,1
64261,466,19,146994,0.67,1
21542,501,18,434505,0.76,1
41677,445,18,38340,0.32,1
66732,738,11,306994,0.7,1
70343,541,4,455200,0.19,1
59081,782,9,118711,0.59,1
82856,407,16,220250,0.62,1
113105,525,4,16094,0.57,1
