transaction_amount,transactions_last_24h,account_age_days,distance_from_home_km,is_foreign_transaction,is_high_risk_country,fraud
10.55,6,644,5.1,0,1,1
21.16,1,604,5.87,0,1,0
274.59,7,1192,17.04,0,0,1
111.9,4,1527,12.42,0,0,0
1.11,3,1362,2.66,1,0,0
12.84,3,623,5.56,1,0,1
130.7,0,1882,34.54,0,0,0
0.61,3,1116,17.48,1,0,0
21.04,3,1589,64.0,0,0,0
95.48,1,1613,21.85,1,0,0
141.28,0,1593,42.7,0,1,0
126.65,2,1602,3.65,0,0,0
30.47,4,1620,22.14,0,0,0
149.45,6,1055,0.31,0,0,0
32.5,3,1165,16.66,0,1,0
47.24,3,474,9.5,1,0,0
164.68,2,1489,6.39,0,0,1
125.85,1,1335,29.75,0,1,1
227.03,0,964,28.89,0,0,1
128.62,2,939,0.34,0,0,0
100.81,6,1300,14.11,0,0,1
11.8,6,808,6.88,0,1,0
55.01,3,404,8.06,0,0,0
36.98,3,1153,26.76,0,0,0
33.56,2,255,5.56,0,0,1
433.48,5,577,42.98,0,0,0
59.93,3,47,2.97,0,0,0
267.13,2,254,16.3,1,0,1
119.68,2,30,16.73,0,0,1
190.06,2,1143,4.36,0,0,0
83.81,3,1639,5.89,0,0,0
103.22,1,403,27.01,0,0,0
81.4,6,1443,21.52,0,0,0
26.07,4,996,5.99,0,0,0
153.81,6,1681,11.45,0,0,0
39.55,2,1776,0.95,0,0,0
2.95,5,17,3.51,0,0,0
124.44,2,1477,9.98,0,0,0
23.39,3,337,1.35,0,0,1
338.53,6,1920,27.8,0,0,1
369.31,6,299,18.99,0,0,1
295.62,5,1796,43.14,0,0,1
55.47,4,520,17.74,0,0,1
1.87,3,921,42.3,0,1,1
316.26,1,370,12.13,0,0,0
67.07,4,1942,13.75,0,0,0
408.1,3,1632,56.57,0,0,1
397.65,4,725,15.41,0,0,0
230.09,2,228,0.47,0,0,0
41.85,2,415,19.3,0,0,0
58.36,4,762,35.38,0,0,0
228.57,4,932,23.81,0,0,1
45.74,1,841,13.15,0,0,1
22.29,2,1803,16.69,0,0,1
97.65,4,1654,69.37,0,0,1
330.16,2,1801,1.43,0,0,1
142.9,3,803,16.51,1,0,0
101.29,5,1253,5.0,1,0,1
12.27,2,604,15.33,1,0,1
114.54,2,116,14.03,0,1,1
553.27,2,590,2.5,0,0,1
18.11,2,618,3.47,0,0,1
87.66,4,1757,14.58,0,0,0
251.83,2,1319,2.06,0,0,1
162.0,2,1782,4.62,0,0,1
143.29,3,17,27.05,1,0,1
145.47,2,815,5.94,0,1,1
53.46,2,198,10.04,0,0,1
41.71,2,90,42.49,0,0,0
198.88,5,117,3.87,0,0,1
199.36,4,1354,7.41,0,0,0
242.15,4,1612,13.99,0,0,1
293.35,4,695,21.12,0,0,1
85.93,4,355,34.79,0,0,1
83.54,4,1896,37.06,1,0,0
192.11,0,337,22.48,0,0,1
125.97,1,564,3.89,0,0,1
145.27,4,1732,0.38,0,0,0
190.63,1,311,7.26,1,0,0
264.88,4,209,2.29,0,1,1
49.5,1,902,18.59,0,0,1
56.51,2,1452,16.23,0,0,0
11.84,2,1072,0.67,1,0,1
103.61,1,1765,27.17,0,0,0
4.39,4,316,4.29,0,0,1
75.19,7,1037,8.49,0,0,1
93.88,3,1666,16.54,0,0,0
40.52,4,1881,8.42,0,0,0
107.24,5,1110,8.73,0,0,1
3.72,3,477,1.02,0,0,1
4.57,2,188,7.7,1,1,1
207.52,3,654,21.71,0,1,0
53.59,2,1856,37.01,1,1,1
16.31,2,1774,8.0,0,0,0
88.64,4,285,8.26,0,0,1
176.36,1,1185,18.19,0,0,0
29.17,5,1197,42.91,0,0,0
117.03,2,1323,4.66,0,0,0
10.71,3,1411,8.7,0,0,1
6.37,6,630,23.84,0,0,0
90.95,3,647,14.11,0,0,0
93.35,3,1785,1.76,0,1,0
121.74,7,1343,14.82,0,0,0
155.4,3,939,3.1,0,0,0
446.83,1,1946,10.71,1,0,1
87.15,0,1422,11.3,0,0,1
46.8,3,1890,31.34,0,0,0
190.28,1,1691,9.31,1,0,0
37.9,2,1797,4.92,1,0,0
69.36,1,192,3.94,0,1,1
9.8,3,1854,31.1,0,0,0
3.08,1,1339,2.81,0,0,1
394.49,2,81,8.32,0,1,1
216.93,4,1252,3.11,0,0,1
142.88,3,728,22.26,0,0,0
63.1,4,1206,9.65,0,0,1
22.84,2,1686,6.49,0,0,0
20.41,2,1305,6.72,0,0,0
34.56,3,735,28.68,0,0,0
95.61,1,1501,12.1,0,0,1
150.46,2,278,18.98,0,0,1
129.53,4,1053,34.1,0,0,1
39.41,6,587,34.8,0,0,1
371.77,4,1004,5.97,0,0,1
160.68,1,824,45.69,0,1,0
96.99,4,1536,0.38,0,0,1
113.52,4,156,7.09,0,0,0
65.28,1,1462,33.92,0,0,0
34.16,5,1198,4.82,0,0,0
52.8,2,899,4.78,0,0,0
170.18,1,319,5.41,0,0,1
1.74,4,527,14.21,0,0,0
14.81,3,23,8.65,0,0,1
5.65,3,141,19.46,0,0,0
4.99,6,1887,33.79,1,0,1
232.1,4,764,16.82,0,0,1
145.95,9,448,3.43,0,0,1
77.13,3,752,40.47,1,0,1
12.35,2,749,4.61,1,0,1
81.18,3,1707,2.44,0,0,0
76.97,2,804,1.41,0,0,0
22.82,5,272,12.43,0,0,1
68.27,4,652,1.81,0,0,1
61.0,3,1976,2.24,0,0,1
114.81,5,1258,5.35,0,0,1
120.97,3,267,4.96,0,0,1
5.56,1,1267,13.9,0,0,0
56.33,3,1369,25.45,0,0,1
117.97,7,418,21.49,1,1,1
83.93,3,1861,4.57,0,1,1
232.96,2,984,4.22,0,0,1
129.0,5,1057,50.63,0,1,1
21.34,2,280,0.12,0,0,0
8.78,4,1128,31.77,0,0,1
123.41,1,151,3.34,1,0,1
3.22,3,1727,44.14,1,0,0
105.76,8,1751,6.29,0,0,1
338.07,3,911,8.71,0,0,0
102.81,5,983,18.42,0,1,1
58.96,6,1114,13.29,0,0,1
123.7,5,283,5.74,0,0,0
73.55,4,285,12.11,0,0,1
94.66,3,1916,19.68,0,0,0
340.58,4,1991,0.65,0,0,0
58.55,0,474,0.17,0,0,0
389.89,8,1241,9.19,1,1,1
282.91,2,1329,2.12,0,0,0
26.15,4,1072,16.38,0,0,0
8.63,0,1981,3.61,0,0,0
12.75,1,297,8.51,0,1,1
2.21,7,1157,3.3,0,0,0
11.9,4,885,11.93,0,0,1
137.86,5,1316,1.85,0,0,1
8.86,1,887,0.35,0,0,0
46.1,5,189,0.79,0,0,1
223.62,1,1130,46.27,0,0,1
2.83,2,1224,2.3,1,1,0
202.14,1,1107,18.49,1,0,1
39.73,4,456,1.06,0,0,1
15.09,3,794,1.72,0,1,1
143.18,1,1530,10.67,0,0,0
118.97,3,570,9.38,0,0,0
251.93,2,493,45.42,0,0,1
159.4,2,858,43.46,0,0,1
195.24,1,731,22.69,0,0,0
39.76,3,125,13.82,0,0,1
23.44,2,544,9.1,0,0,0
166.65,3,1131,6.61,1,0,0
197.31,3,1361,44.09,0,0,1
558.84,5,1942,13.85,0,0,1
63.85,6,416,12.98,0,0,1
55.83,3,1346,3.96,0,0,0
179.75,5,1735,0.72,0,0,1
50.01,2,703,43.56,0,0,0
320.42,2,1181,5.65,0,0,0
234.58,4,1375,8.77,0,0,1
67.24,3,504,1.83,0,0,1
166.77,2,957,27.2,0,1,0
168.56,1,32,0.42,1,0,1
13.06,5,1138,26.94,0,0,0
279.41,3,1708,2.27,0,1,1
84.44,4,1612,32.65,0,0,1
210.16,1,1835,19.63,1,0,0
46.29,3,1834,2.7,0,0,1
271.05,4,567,12.51,0,0,0
59.16,2,1626,5.62,1,0,1
1.31,2,950,2.94,0,0,1
282.95,2,1692,29.4,0,0,1
11.49,4,1255,7.75,0,0,1
46.16,5,864,7.63,0,0,0
359.64,2,1048,2.79,0,0,0
360.95,2,900,7.24,0,0,0
102.24,4,1666,30.79,0,0,1
119.91,0,87,6.77,0,0,1
71.4,3,1355,45.42,0,0,0
41.64,0,816,43.87,0,0,1
47.82,2,1274,2.35,0,0,0
133.96,2,1051,2.93,0,0,0
167.5,1,777,29.78,0,0,1
188.18,4,463,7.48,1,0,0
187.06,5,1476,0.07,0,0,0
11.48,1,937,4.8,1,0,0
81.85,4,286,13.66,0,1,1
7.11,0,1457,24.09,0,0,1
95.7,6,1509,2.15,0,0,1
69.91,5,1060,1.76,0,0,1
262.39,1,523,38.28,1,1,1
51.86,5,1898,20.86,1,0,0
14.94,1,473,13.37,0,0,0
18.52,4,816,21.99,0,0,0
172.01,2,833,8.4,0,0,1
115.55,1,372,21.31,0,0,0
12.79,3,1416,6.97,0,0,1
10.54,3,760,4.2,0,0,0
144.87,6,534,19.59,0,0,0
9.07,0,1415,8.16,0,0,0
207.02,3,1217,59.75,0,0,0
147.0,5,1227,6.45,0,0,0
10.18,1,1495,38.21,0,0,1
10.64,3,65,40.54,1,0,1
517.86,4,1263,4.15,0,0,1
56.26,2,498,24.01,0,0,1
55.57,3,1061,8.51,0,0,0
201.07,7,1865,37.43,0,0,1
353.06,1,1616,8.97,0,0,0
512.25,3,731,20.46,1,0,1
167.99,3,1993,9.44,1,0,1
56.64,1,1217,3.88,0,0,0
10.46,1,1458,3.33,0,0,1
180.15,2,1408,8.31,0,0,0
98.08,2,1901,21.13,0,0,0
66.24,6,50,13.94,0,0,1
284.19,1,1517,17.5,0,0,1
14.15,3,1013,4.98,0,1,1
81.42,3,269,9.85,0,0,0
1.37,4,450,0.68,0,0,0
75.88,2,935,25.52,0,0,1
6.95,3,865,68.92,0,0,0
15.18,4,93,7.84,0,0,1
15.0,2,55,0.17,0,0,0
125.71,3,449,2.79,0,0,0
164.47,2,1704,15.86,0,0,0
105.07,4,1889,14.2,1,0,0
392.97,1,1552,23.26,0,1,1
56.38,3,995,4.39,0,0,0
40.38,5,1878,21.64,0,0,0
243.54,2,1471,17.47,0,0,0
30.37,4,145,5.85,0,0,1
396.34,2,1216,11.83,0,0,0
1.47,1,1742,2.39,1,0,0
420.3,3,1205,9.04,0,0,0
5.29,4,918,31.95,0,0,1
266.13,7,870,8.2,0,0,0
90.02,4,797,27.45,0,1,0
594.82,6,599,13.38,0,0,1
9.2,4,1961,3.2,0,0,1
96.85,1,965,13.05,1,0,1
418.03,1,699,10.58,0,0,1
88.85,7,548,7.63,0,0,1
119.12,4,1153,1.91,0,0,1
142.79,3,1314,8.09,0,0,1
72.74,3,1341,1.13,0,0,1
118.52,3,717,1.56,0,0,1
105.34,3,1310,8.07,1,0,1
277.71,1,1563,5.47,0,0,0
5.58,1,304,38.96,0,0,0
39.58,3,1816,7.07,1,0,1
360.48,0,62,21.27,1,0,1
265.16,3,815,11.33,0,0,1
72.98,3,1465,18.27,1,0,0
116.15,0,61,4.52,0,0,1
38.98,2,737,42.69,0,0,1
25.01,1,81,11.33,0,0,0
74.77,2,37,26.7,1,1,1
52.31,4,478,6.81,0,0,1
105.15,4,1945,1.58,0,0,1
9.71,1,773,16.8,0,0,1
439.8,3,895,0.12,0,0,0
514.06,3,921,9.67,0,0,1
143.74,2,556,3.21,0,0,0
92.17,2,1434,14.81,1,1,0
44.45,3,210,58.25,0,0,0
201.71,2,1794,9.37,0,0,1
138.52,3,1644,25.51,0,0,1
21.3,2,829,10.63,1,0,1
290.2,1,1499,10.27,0,0,1
207.48,0,1685,39.98,0,0,0
359.01,3,1628,33.1,1,0,1
155.23,4,569,23.11,0,0,0
114.05,4,1823,5.27,0,0,0
65.0,3,388,11.81,0,0,0
323.88,3,1793,3.8,1,0,0
241.25,6,1928,8.8,0,0,1
5.55,4,1210,9.93,0,0,1
3.21,4,1085,26.72,1,0,1
56.68,5,88,33.95,0,0,1
199.64,1,1418,8.03,0,0,0
523.71,4,843,0.27,0,0,1
19.56,2,1609,29.68,0,0,0
108.21,4,1041,2.87,0,0,0
57.54,5,1247,14.59,0,0,1
420.45,2,34,0.38,1,1,1
221.51,4,459,7.65,0,0,1
218.66,1,777,63.99,0,0,1
75.89,2,764,1.59,0,0,0
64.3,4,1490,8.27,0,0,0
38.33,1,1494,5.5,0,0,0
6.96,1,207,35.32,1,0,1
240.05,0,1127,30.53,0,0,1
201.13,3,1752,4.07,1,0,1
980.69,3,1980,1.27,0,0,1
683.38,4,446,14.8,0,0,1
97.28,2,1560,6.15,0,0,1
175.83,3,699,16.72,0,0,1
347.54,6,1411,0.49,0,0,1
227.37,2,596,2.15,0,0,1
34.1,2,113,17.39,0,0,1
71.86,2,1839,3.58,0,0,0
16.6,4,1713,29.24,0,0,0
369.63,1,1995,0.91,0,0,0
111.82,4,636,3.64,0,0,1
31.15,3,1072,98.15,0,0,1
133.66,3,467,8.51,0,0,1
115.52,5,373,18.21,0,0,1
53.21,3,1818,3.03,0,0,1
14.46,1,144,14.12,0,0,1
133.61,1,383,19.43,0,0,0
88.15,3,1265,5.66,0,1,0
177.58,5,48,26.48,1,0,1
88.12,4,1997,13.87,0,0,0
229.41,2,1836,7.39,0,0,0
96.33,7,828,12.23,0,0,0
98.77,0,56,12.9,0,0,1
251.13,4,45,2.71,0,0,0
62.0,2,1865,7.73,1,0,1
17.27,3,104,6.31,0,0,1
3.5,1,994,7.68,0,0,0
168.85,3,1394,21.48,0,0,0
116.21,1,1558,9.88,0,0,0
146.12,3,1179,42.28,1,0,0
28.74,6,1950,5.22,0,0,1
17.59,3,377,8.06,0,0,0
1.76,2,74,23.19,0,0,1
51.8,1,1261,11.85,0,0,1
106.97,4,763,11.88,0,0,1
59.76,4,1553,0.82,1,0,1
69.04,3,825,7.63,0,0,0
281.41,1,1886,4.74,0,0,1
51.37,4,1588,109.74,0,0,0
86.58,2,765,5.53,0,1,1
183.7,4,190,32.38,0,0,1
60.61,1,1534,16.92,0,0,0
116.77,5,606,6.25,0,1,1
237.98,3,1188,11.76,0,0,0
358.34,1,796,27.54,1,0,1
19.09,2,1568,32.23,0,0,0
313.4,1,636,2.62,0,0,0
81.3,5,1851,6.22,0,0,1
35.85,1,1468,6.12,0,0,0
73.75,3,1844,0.64,0,0,1
469.64,2,1132,13.68,1,0,1
81.42,3,625,28.95,0,0,1
47.83,2,1405,7.21,0,0,0
120.42,5,1596,20.21,0,0,0
32.96,4,1395,14.82,0,0,0
9.47,5,121,7.07,0,0,0
16.56,2,462,2.28,1,0,1
16.44,3,765,18.53,0,0,0
19.77,2,1202,28.92,0,0,0
17.94,1,593,17.37,0,0,0
122.89,3,148,0.27,0,1,1
24.09,1,1881,3.65,0,0,0
50.9,7,240,1.08,1,0,0
272.52,6,1272,12.67,0,0,1
77.09,3,993,21.19,1,0,1
132.15,4,262,1.76,0,0,0
22.7,1,1469,27.33,0,0,0
25.63,1,1952,12.16,0,0,0
5.01,2,570,17.57,0,0,0
22.21,3,1455,53.32,1,0,0
39.19,3,1336,1.31,0,0,1
23.38,1,81,34.72,0,1,1
11.15,4,1296,2.02,0,0,0
15.43,1,1867,7.49,0,0,0
74.12,3,231,28.6,0,1,0
27.73,3,1110,35.51,0,0,1
54.36,1,71,10.59,0,0,0
84.0,2,1504,13.52,0,0,0
140.69,4,1190,18.47,0,0,1
4.81,2,815,26.82,0,0,0
192.78,0,134,1.94,1,0,0
118.63,4,750,24.92,0,0,0
10.24,0,1885,9.85,1,0,0
248.18,2,170,8.98,0,0,1
304.4,5,550,8.27,0,0,0
7.56,1,635,10.68,0,0,0
38.9,5,1624,43.52,0,0,0
196.91,4,1568,11.92,1,0,0
165.52,4,115,45.92,0,0,1
24.48,3,1164,2.98,0,0,1
28.19,6,1390,19.32,0,0,1
55.53,2,1718,25.09,0,0,0
79.52,4,785,17.05,0,0,0
115.56,2,1887,14.01,0,0,0
55.24,5,1918,12.48,0,0,1
74.51,3,1830,29.59,0,1,1
165.15,3,11,25.86,0,0,1
4.48,3,242,1.96,0,1,0
34.91,1,378,28.32,0,1,0
149.94,3,1284,8.02,0,0,0
270.69,6,955,4.39,0,0,1
86.01,3,1866,30.58,0,0,0
91.14,1,1141,8.49,0,0,1
13.6,3,1309,24.78,0,0,0
71.18,3,189,4.59,0,0,0
91.27,2,1758,0.06,0,0,0
33.32,3,302,10.26,0,0,0
37.64,0,593,1.58,1,0,0
56.84,8,804,21.06,1,0,0
2.43,1,184,4.85,0,0,0
46.65,1,132,8.8,0,0,0
28.51,3,236,1.37,1,0,1
47.61,2,1935,5.07,0,0,1
15.31,2,453,22.81,0,0,1
265.45,3,1846,2.47,0,0,0
108.05,4,437,15.63,0,0,1
136.4,3,1116,37.41,0,0,1
186.81,7,774,17.08,1,0,1
82.8,3,1691,24.99,0,0,0
10.91,3,641,1.73,0,1,1
92.43,3,74,4.33,0,0,1
106.07,5,1314,33.74,0,0,1
164.19,5,1828,18.83,0,0,0
67.8,4,1424,15.31,0,0,1
16.38,4,437,16.35,0,0,1
40.05,2,627,8.02,1,0,0
54.13,6,934,0.68,0,0,0
124.59,3,821,23.02,0,0,1
101.49,2,116,17.03,0,0,0
52.82,6,1581,9.6,0,0,1
516.74,4,668,34.5,0,0,1
111.7,3,1295,6.15,1,0,1
32.5,3,1954,5.23,1,0,1
12.88,6,1192,30.93,0,0,0
19.91,4,274,23.92,0,0,0
33.88,2,1501,10.85,0,0,1
21.02,1,1235,2.1,0,0,1
24.78,3,1966,3.63,0,0,0
40.27,4,164,16.02,1,0,0
22.85,5,1046,7.29,0,0,1
272.49,6,1330,27.16,0,1,1
10.04,2,905,44.92,0,0,1
89.21,4,1867,24.57,0,0,0
63.4,4,1531,7.11,0,0,1
484.64,0,1630,23.32,0,0,1
14.26,4,1002,6.5,0,0,1
60.87,5,1825,2.74,0,0,0
418.69,2,254,0.51,0,0,1
240.75,5,1333,7.31,0,0,1
203.84,4,1395,35.08,0,0,1
35.79,5,1387,4.1,1,0,1
22.49,2,1861,3.47,0,0,0
132.55,2,1554,52.51,0,0,1
318.05,0,395,0.38,0,0,0
97.64,4,768,23.11,0,0,1
101.73,1,1345,5.82,0,0,1
39.42,2,423,0.57,0,0,0
176.1,3,1311,37.48,0,1,0
24.85,2,1783,2.26,0,0,1
46.93,2,724,12.04,0,0,1
66.5,1,768,4.8,0,0,0
85.02,3,756,1.01,0,0,0
33.31,4,602,0.77,0,0,0
14.64,6,1389,1.84,0,0,0
113.18,3,1558,1.11,0,0,0
40.87,2,848,21.44,0,0,0
104.45,3,25,9.97,0,0,1
20.12,1,1002,6.3,1,0,0
78.73,2,1078,8.13,1,0,0
91.27,1,1354,39.66,0,0,0
6.39,3,660,36.25,0,0,0
49.25,4,1359,18.86,0,1,1
17.32,2,157,32.4,0,0,0
7.86,2,364,5.78,0,0,1
552.14,3,1269,7.2,0,0,1
46.7,2,712,14.27,0,0,1
199.21,2,622,14.66,0,0,1
35.27,3,114,9.86,0,0,1
137.3,1,1507,7.68,0,0,0
171.37,6,1795,64.22,0,0,1
108.65,2,405,25.82,0,0,1
76.54,2,1479,8.56,0,0,1
63.69,2,615,19.49,0,0,1
51.49,4,1253,4.71,0,0,0
318.31,1,1843,1.58,0,1,0
213.07,2,860,6.52,0,0,1
402.38,4,1998,7.74,0,0,0
15.93,3,451,0.25,0,0,1
157.51,3,1678,25.29,0,0,0
334.34,3,882,6.68,0,0,1
23.99,6,676,13.03,0,0,1
8.26,3,1061,1.15,0,0,0
162.17,3,803,2.89,0,0,0
102.53,1,484,33.07,0,0,1
221.29,2,637,14.07,1,0,0
18.07,4,1338,45.02,0,0,1
190.33,3,1779,100.27,0,1,0
27.02,3,1438,6.97,0,0,1
21.45,2,1546,5.32,0,0,0
21.53,3,511,29.32,0,0,1
202.21,1,357,98.69,0,0,1
131.31,2,1273,14.9,0,0,0
88.85,2,1027,23.78,0,0,0
53.34,3,579,22.83,0,0,0
251.66,5,1880,6.59,1,0,1
59.8,3,704,12.81,0,0,0
203.53,6,1370,26.85,0,0,1
69.39,2,35,17.48,1,0,1
56.77,5,1442,0.32,1,0,0
74.54,6,1110,6.16,0,0,1
43.04,6,1962,2.34,0,0,0
165.21,3,226,3.98,0,0,0
83.83,4,1361,35.39,0,0,1
31.71,3,846,0.56,1,1,1
275.8,2,783,3.72,0,0,1
58.12,5,1056,5.56,0,0,0
94.11,4,1789,14.39,1,0,1
284.34,2,679,11.46,0,1,1
117.46,0,727,3.69,0,0,1
